,1. open,2. high,3. low,4. close,5. volume
2022-06-29 15:20:00,227.9000,228.4630,227.7300,228.3500,342180
2022-06-29 15:15:00,227.8000,228.5630,227.6430,227.8270,554100
2022-06-29 15:10:00,228.1170,228.4500,227.7200,227.7870,486009
2022-06-29 15:05:00,226.6070,228.6670,226.5070,228.2470,1028316
2022-06-29 15:00:00,226.4370,226.7600,226.0330,226.5830,341955
2022-06-29 14:55:00,226.4530,226.7800,226.2930,226.4870,264402
2022-06-29 14:50:00,226.0570,226.6200,226.0570,226.4520,261870
2022-06-29 14:45:00,225.8900,226.2970,225.8700,226.0970,327645
2022-06-29 14:40:00,226.6870,226.9270,225.9200,225.9480,343875
2022-06-29 14:35:00,226.7290,226.8700,226.4470,226.7000,205422
2022-06-29 14:30:00,226.8330,226.9630,226.3000,226.7050,589260
2022-06-29 14:25:00,226.6500,227.1070,226.4300,226.8920,511746
2022-06-29 14:20:00,226.8570,226.9600,226.3670,226.6420,481875
2022-06-29 14:15:00,226.9350,227.2670,226.7330,226.9050,265899
2022-06-29 14:10:00,227.5400,227.5400,226.8270,226.9130,395487
2022-06-29 14:05:00,227.2670,227.5470,226.9270,227.4890,477762
2022-06-29 14:00:00,226.2100,227.4210,225.9400,227.2370,768615
2022-06-29 13:55:00,225.8470,226.5930,225.8470,226.2600,494571
2022-06-29 13:50:00,225.5400,226.0830,225.4130,225.7820,358431
2022-06-29 13:45:00,225.8550,226.1130,225.4810,225.5070,391461
2022-06-29 13:40:00,225.5440,226.2630,225.4330,225.8620,600354
2022-06-29 13:35:00,224.6900,225.7250,224.6100,225.5430,506880
2022-06-29 13:30:00,224.7370,224.8300,224.4950,224.7340,254838
2022-06-29 13:25:00,223.9490,224.9170,223.8480,224.6480,332964
2022-06-29 13:20:00,224.1930,224.2580,223.8370,223.9330,311103
2022-06-29 13:15:00,224.1030,224.3530,223.8470,224.2600,294648
2022-06-29 13:10:00,224.7220,225.0800,224.1030,224.1670,503235
2022-06-29 13:05:00,224.3330,224.8030,224.0370,224.7200,408147
2022-06-29 13:00:00,224.1730,224.7530,224.0500,224.3260,444387
2022-06-29 12:55:00,223.7530,224.4070,223.5100,224.1670,356349
2022-06-29 12:50:00,223.3080,224.1500,223.2670,223.7800,339069
2022-06-29 12:45:00,223.2430,223.5430,222.8500,223.3830,455088
2022-06-29 12:40:00,223.3330,223.7470,222.9570,223.2670,304152
2022-06-29 12:35:00,222.8530,223.8330,222.6960,223.3880,505164
2022-06-29 12:30:00,222.6670,223.0730,222.5070,222.9080,341310
2022-06-29 12:25:00,222.8370,223.0000,222.3530,222.6800,497313
2022-06-29 12:20:00,223.7930,224.1800,222.8120,222.8970,425544
2022-06-29 12:15:00,223.4970,223.9970,223.4390,223.7770,334509
